x,y,w_right,w_left,x_normvec,y_normvec,alpha,s,psj,kappa,vx,ax
-7.219121821294837,-0.04162427047996353,4.875,4.875,-0.9898542959499077,-0.14208614566351147,0,0,1.713364952394838,0,0.0,0.0
-7.361203091116104,0.9481960575319036,4.875,4.875,-0.9899029752995376,-0.14174660310964393,0,1,1.7130219380713456,0.0006860920272690395,1.9051296726627254,2.5399277064495713
-7.502597065695838,1.9380562417877927,4.875,4.875,-0.989290114722793,-0.1459625599657771,0,2,1.7172822100991525,-0.009208742000093265,3.102639752622152,3.2656213368637346
-7.653080330817701,2.9264517692504928,4.875,4.875,-0.9873958339506448,-0.1582702343996204,0,3,1.7297348866577502,-0.015698372787061085,3.81025934532545,3.628468152070816
-7.819093829632622,3.9125752494552932,4.875,4.875,-0.9861234802048008,-0.166013498814921,0,4,1.7375820099421104,-8.636997945388002e-16,5.007769425284877,4.1727383748814395
-7.985107328447543,4.898698729660094,4.875,4.875,-0.9861545161621058,-0.16582903923343179,0,5,1.737394957628703,0.00037410465206358986,5.4432276361792145,4.35416178248498
-8.15075189561266,5.884884207522667,4.875,4.875,-0.9857922248202837,-0.16796931113710986,0,6,1.739565676562212,-0.004715608736284669,6.36857633432968,4.717008597692061
-8.321043374765313,6.870268061313797,4.875,4.875,-0.9850552794757857,-0.1722384869211342,0,7,1.7438979946105408,-0.003949059759999992,7.366501400962537,5.079855412899143
-8.495226520958731,7.854981335105799,4.875,4.875,-0.9845738562646849,-0.17496948751164473,0,8,1.746671104320188,-0.0015972136011336664,7.892680072459862,5.2612788205026835
-8.670981930113959,8.839413412284653,4.875,4.875,-0.9844141844516955,-0.17586561190381492,0,9,1.7475813427896625,-0.0002232686809442924,8.437002836077783,5.442702228106224
-8.846953843672253,9.82378786749247,4.875,4.875,-0.985876312227577,-0.167475063781308,0,10,1.7390643272368438,0.017259332230750782,8.999469691816302,5.624125635709765
-9.005906120912368,10.81101335465765,4.875,4.875,-0.9842704375817994,-0.1766683494645633,0,11,1.748396849252481,-0.03593194206444279,9.580080639675417,5.805549043313306
-9.200222951838766,11.791952174981692,4.875,4.875,-0.9809388203240411,-0.19431683092639848,0,12,1.7663572847346036,0.0,10.178835679655132,5.986972450916848
-9.394539782765165,12.772890995305733,4.875,4.875,-0.980937306660394,-0.1943244719582487,0,13,1.766365074249696,-1.557903020592669e-05,10.795734811755443,6.1683958585203875
-9.588871895487312,13.753826786949878,4.875,4.875,-0.9809193461201273,-0.19441511362870414,0,14,1.7664574782184186,-0.0001692289081544863,11.430655440759319,6.3485934322887685
-9.783370008374357,14.734729679229932,4.875,4.875,-0.9800812089766483,-0.19859713948310417,0,15,1.7707226677448904,-0.008361408900609947,12.0474319776426,6.167170024685229
-9.98605916355556,15.713954605969032,4.875,4.875,-0.97880804404698,-0.20477991334338733,0,16,1.7770351770609853,-0.004263733915679098,12.646064422405283,5.985746617081687
-10.19292525424221,16.692323871902925,4.875,4.875,-0.977844917539724,-0.20933064095284817,0,17,1.7816867115881019,-0.00503946337620906,12.646064422405283,5.985746617081687
-10.404718533117114,17.669635507927218,4.875,4.875,-0.9766649303414616,-0.21476874502847898,0,18,1.787251370214664,-0.00609006238781586,13.226552775047367,5.804323209478147
-10.622455103365285,18.645618985294487,4.875,4.875,-0.9749301308860834,-0.2225112129544134,0,19,1.7951858310670785,-0.009779089548477393,13.788897035568855,5.622899801874605
-10.849730380870577,19.61944942164233,4.875,4.875,-0.9737540126084648,-0.22760299411236595,0,20,1.8004116852282985,-0.0006730194111892677,14.333097203969746,5.441476394271065
-11.07766103970166,20.59312678851743,4.875,4.875,-0.9736773668751001,-0.22793065883108346,0,21,1.8007481948676907,-1.736698079082238e-15,14.333097203969746,5.441476394271065
-11.305591698532744,21.566804155392532,4.875,4.875,-0.9736560868364066,-0.22802154408392192,0,22,1.8008415381547371,-0.00018668658171768572,14.859153280250037,5.260052986667524
-11.533704118005204,22.54043892006951,4.875,4.875,-0.9735018509697612,-0.22867913363149023,0,23,1.8015169733721896,-0.0011641939021361924,15.367065264409732,5.078629579063983
-11.762947962645882,23.513799329793713,4.875,4.875,-0.9708933375539612,-0.23951226919164256,0,24,1.8126597940650224,-0.02112312441031102,15.367065264409732,5.078629579063983
-12.012699935820109,24.482109172713624,4.875,4.875,-0.9682867577536107,-0.24984145924766057,0,25,1.823312845212428,-0.00018483163325433576,15.85683315644883,4.897206171460442
-12.262630867115638,25.450372790943387,4.875,4.875,-0.9681992708901758,-0.25018027869464843,0,26,1.823662777448983,-0.0005150328648627381,15.85683315644883,4.897206171460442
-12.5130604647109,26.418507604204578,4.875,4.875,-0.9655841528011738,-0.2600908377072121,0,27,1.8339126039030988,-0.019986659264023616,16.328456956367333,4.715782763856903
-12.78277789725213,27.381412476361973,4.875,4.875,-0.9633864849838714,-0.2681165428510911,0,28,1.8422337868977006,0.0033429419084109397,16.781936664165237,4.534359356253361
-13.049282669702395,28.345241478003498,4.875,4.875,-0.9640098093016198,-0.2658666725451962,0,29,1.8398991665700963,0.0013264169689175763,16.781936664165237,4.534359356253361
-13.314509947364431,29.309427399485443,4.875,4.875,-0.9641859214819435,-0.2652272776620376,0,30,1.8392359612227194,-2.631915743699542e-15,17.217272279842543,4.3529359486498205
-13.57973722502647,30.273613320967385,4.875,4.875,-0.96414446623185,-0.26537793471669996,0,31,1.8393922176975597,-0.00031251295792669427,17.217272279842543,4.3529359486498205
-13.845265807731314,31.237716299009584,4.875,4.875,-0.963086313635951,-0.269192779411177,0,32,1.8433510997908735,-0.007605670610087002,17.63446380339925,4.171512541046279
-14.118106674423775,32.19972831383015,4.875,4.875,-0.9603969362624888,-0.27863546941770545,0,33,1.8531693440124084,-0.012031182150947142,17.63446380339925,4.171512541046279
-14.402514022046743,33.15843184496898,4.875,4.875,-0.9586625206967923,-0.28454555243628815,0,34,1.8593286782766048,-0.00028832235224543766,18.033511234835363,3.990089133442738
-14.68719765483417,34.11705293589816,4.875,4.875,-0.9582091229933416,-0.2860686571652532,0,35,1.8609178346642419,-0.002889994380162977,18.41441457415088,3.808665725839198
-14.97465061987998,35.07484769099257,4.875,4.875,-0.9577758854984605,-0.2875158311426343,0,36,1.8624284662148667,-0.00013127388386071137,18.41441457415088,3.808665725839198
-15.262229304570765,36.0326046650928,4.875,4.875,-0.9576707942136465,-0.28786568032713356,0,37,1.8627937587435646,-0.0005993112090257361,18.777173821345794,3.6272423182356572
-15.550381943362034,36.99018915575544,4.875,4.875,-0.9575844906626404,-0.288152638791269,0,38,1.863093414318729,0.0,18.777173821345794,3.6272423182356572
-15.838534582153303,37.94777364641808,4.875,4.875,-0.9575908228117794,-0.2881315950510449,0,39,1.8630714385339795,4.3951569708307934e-05,19.121788976420113,3.445818910632116
-16.126645132044356,38.90537079666047,4.875,4.875,-0.9576262845417516,-0.28801371348385507,0,40,1.8629483385819288,0.00020224833575637364,19.121788976420113,3.445818910632116
-16.41456200489566,39.86302620145257,4.875,4.875,-0.9559541169553374,-0.2935161431269858,0,41,1.8686992487330547,-0.011704653656831588,19.448260039373835,3.2643955030285747
-16.713659169703476,40.81721959663613,4.875,4.875,-0.9535036664065779,-0.3013814163965879,0,42,1.8769374290740644,-0.004771982449434953,19.448260039373835,3.2643955030285747
-17.017314705740578,41.770001479038406,4.875,4.875,-0.9526808912127899,-0.3039722347814095,0,43,1.8796557564040215,-0.0006648227897195742,19.75658701020696,3.082972095425035
-17.32160360012428,42.722581256386526,4.875,4.875,-0.9525714317344299,-0.3043150792245074,0,44,1.8800156504036436,-5.4965255809848456e-05,19.75658701020696,3.082972095425035
-17.62594485839958,43.67514432438329,4.875,4.875,-0.9504630902930923,-0.3108374398146162,0,45,1.8868703185413278,-0.013655528259299698,20.04676988891949,2.901548687821494
